id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
7LRZZ37INO,crossover,0.2981891898393193,0.0028031518170622965,0,19,22,806,6,5
LG1LUG0OT4,crossover,0.263643452035786,0.014768061512972261,0,15,24,622,5,5
NWQ0XYHDYM,crossover,0.20165042825454715,0.04476529554192184,0,12,23,602,4,4
0GZPYHVEKK,crossover,0.2637135443676145,0.024871847974447435,1,15,24,495,5,5
0G9QDPUZAE,crossover,0.2641616114935572,0.010358492087098894,0,14,19,282,5,5
18OKYVCGX2,mutation,0.2544688161746508,0.017330754540223335,1,13,31,707,5,4
REUWZ6QT1Z,crossover,0.26260919753155776,0.02028158697241534,0,12,22,666,5,4
31WH4TNW8R,crossover,0.20840022072704045,0.040777223965818704,1,12,22,925,4,5
Q0XYWFAW9K,crossover,0.20251356623114114,0.04482541023937464,0,10,18,449,4,4
UQ7ZFD9EYL,mutation,0.2539888082229036,0.018374595876340237,1,13,24,480,5,5
05DLTHHIM1,crossover,0.20666044823726282,0.045548176544009514,0,12,16,374,4,4
MJ5I4JI6T7,crossover,0.263643452035786,0.021138134540167733,0,14,23,507,5,6
OP2DCL1F5Z,crossover,0.20702501920518235,0.04831831740004282,0,13,20,470,4,5
EKC29NJ9FD,crossover,0.20160356093094267,0.040569776137036495,0,10,12,189,4,6
60VRSD3OSZ,crossover,0.1723816867112299,0.06569598225330733,0,10,12,188,3,5
ZMRRJP8DUI,crossover,0.275678543526512,0.013369439216743717,1,10,28,655,5,3
6HCBBMHCLZ,mutation,0.2671570633987673,0.01464748463426635,0,8,27,649,5,2
YWVMP8OEOY,mutation,0.30722876981444025,0.0024018080277097495,0,14,15,526,6,7
MVCZ1G1AS9,mutation,0.3014463565691171,0.005252912609214157,0,11,15,437,6,7
NNP5GMYQBD,mutation,0.338346777624266,0.0005622287888938649,1,10,20,211,6,4
EOPLPTLIKS,crossover,0.21492770703430752,0.032433095469089235,0,9,19,204,4,4
F4W9M858ZI,mutation,0.3324720900130489,0.0007491750734580777,1,13,24,1095,6,4
AMOJ6FZWMK,crossover,0.20840022072704045,0.040777223965818704,1,12,22,977,4,3
OK205TQ6GJ,crossover,0.2763595331905998,0.007782247191635928,1,7,32,861,5,3
OW8S3XS9IQ,mutation,0.26153562195602476,0.014145718026625606,0,7,29,820,4,2
3NT32D3RSN,mutation,0.2583145544694494,0.020562701366862272,1,18,30,1001,5,6
GKBE4OXRK1,crossover,0.25453141106768584,0.019652641293862884,1,13,22,936,5,5
BPL6EYL8ZE,crossover,0.2069648181984869,0.04746176983229042,1,10,27,1164,4,4
C96F4QWAU6,crossover,0.22118624673014475,0.029562531794767727,1,9,26,559,4,4
LHBR484TS9,crossover,0.20682057131742193,0.03451417594911725,0,11,13,179,4,6
4RVFUWEMR9,crossover,0.17217072806025024,0.06595694258733656,0,10,12,177,3,5
8F2JPX5CAQ,mutation,0.18222559342201294,0.06433766807791422,1,10,20,947,3,6
465IP4MAC0,mutation,0.17529661891232784,0.06807138151219391,0,10,18,738,3,5
GY4J1N5TMZ,crossover,0.22267031693697137,0.026511276544287504,1,11,25,640,5,5
