id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
K20PASACO1,crossover,0.20483793713903764,0.035350569456451944,0,11,38,166,4
HPFUIQXQ7L,crossover,0.2059340652198065,0.038716297546208395,0,11,22,859,4
AMVXO5I11J,mutation,0.20251356623114114,0.04482541023937464,0,10,16,589,4
C5QG0W9TRX,mutation,0.24057652616444813,0.023801250385707018,1,14,38,1060,5
KZ8GDMFALT,crossover,0.2052242194367231,0.036394410792568846,0,11,34,709,4
I53MC8DETC,crossover,0.2969081242321061,0.002515435230409549,0,19,24,1304,6
TUGF35LNI0,crossover,0.3043563881518152,0.004181620052873133,0,16,21,1095,6
7D3YBQQ594,mutation,0.26477743062417347,0.01822066055280503,0,12,31,609,5
5WFHN2X00O,crossover,0.21216073771260802,0.036347500479527645,0,8,30,465,4
S8P6IZCY83,crossover,0.3038434229060293,0.0017867617011694918,1,7,37,1626,6
TS6NBT9IDU,crossover,0.30572408346152335,0.011234846231468688,1,6,37,1230,6
9S93WZRURY,mutation,0.26740652786500385,0.017330754540223335,0,13,29,432,5
55G4SBOU8G,crossover,0.2631913221269069,0.02109122422712653,0,12,26,400,5
AVJTR80GWH,crossover,0.20971613491953156,0.042389896283035286,1,14,33,1420,4
HFWBPHF64N,mutation,0.20490609096652979,0.053611190646292065,0,14,28,1403,4
BVJKNKRMR2,mutation,0.2864572692721551,0.005948922661225535,1,20,34,1078,6
KP6TEK6ZVV,crossover,0.2622842984459951,0.021345582368949963,0,16,30,1036,5
ZKLRSWRW0I,mutation,0.2284572138467975,0.026591545302158015,1,24,23,126,5
5D735AI6ES,crossover,0.22833588767033564,0.027166978475463475,1,23,19,122,5
OM1N1XECLW,mutation,0.24412060863180418,0.023540290051677792,1,14,35,772,5
GZXNFEKDKR,crossover,0.20451969281893312,0.049462581554447924,0,14,35,457,4
D6997VV7E8,crossover,0.23897605342221295,0.025474037400376397,1,14,38,219,5
1BPN0ABQCE,mutation,0.20174605690283942,0.0445109374000984,0,13,37,190,4
A8M5ZCFRI7,crossover,0.2302782838405112,0.02502578329798265,1,12,35,749,5
2HMITR37EZ,crossover,0.26435597884443385,0.0198131788096039,0,12,33,404,5
A95HZZFO1G,crossover,0.20045643863214124,0.043259648235199274,0,10,36,149,4
UD32K0LN6K,crossover,0.21159274365430203,0.03423306155467032,0,8,35,138,4
JH2JM9ZBVP,crossover,0.2576705890435984,0.020830263893097306,0,14,21,207,5
WQ7V7IL2X7,crossover,0.20101552902761866,0.04683282415373795,0,13,21,195,4
0EPWZJEIFA,crossover,0.3317712460736518,0.003245498694850843,1,14,39,1336,6
UN0RQRORYN,mutation,0.24625867067626017,0.017899585521322994,1,17,39,1176,5
4XXJJFJKMJ,crossover,0.20599734781091805,0.03848209346480268,0,11,30,466,4
N75F972P4H,crossover,0.200695667820305,0.04586925157549156,0,10,24,289,4
A1J669V1BE,crossover,0.3039196227448884,0.0063169080057487725,1,16,19,990,6
VB1F0ETU2E,crossover,0.26927541929960186,0.012211970677926988,0,13,19,924,5
8T5PRBXD5T,mutation,0.26435597884443385,0.0198131788096039,0,12,33,341,5
P9BLUPR00Z,crossover,0.2630930697238979,0.01822066055280503,0,12,24,291,5
KS8PBGYIAZ,crossover,0.34221301340885824,0.0031780868375916316,1,14,18,968,6
Y2BS48TSGI,crossover,0.26680746691281276,0.017384267045470345,0,12,18,896,5
WA48RJ7WFA,crossover,0.3379029632273238,0.0010035332152815019,1,10,39,704,6
7WIA7ILEQ7,mutation,0.275678543526512,0.011776920959944849,1,10,38,392,5
LKXU6KHHSO,mutation,0.2502209899724621,0.025989355876229053,1,17,24,955,5
Y06XBONJ07,crossover,0.2638913362361741,0.01891667060481641,0,16,26,714,5
K0M5C4GL3W,crossover,0.3476719082426847,0.0035064590288800684,1,27,17,591,8
U30YEWP4FM,crossover,0.31025380954357407,0.0037608171707034996,0,19,16,539,7
KDPT5GTTHR,crossover,0.29943883181926934,0.006591420207989904,0,26,23,838,6
81KV3FSOGH,crossover,0.29160068329561073,0.014640882442060556,0,24,19,502,6
MYWO77O3L2,crossover,0.275678543526512,0.011776920959944849,1,10,35,979,5
26MCG7RPL8,mutation,0.2782019507738742,0.007628311868100708,0,9,32,926,5
0GL9QUYGZG,crossover,0.26631030027289637,0.015289982181030726,0,17,29,394,5
X14NV02J20,crossover,0.20723105693664756,0.044792051794545346,0,16,23,322,4
6EQBNYOY7E,mutation,0.2081423695675546,0.03607993795329262,0,15,34,154,4
FKMQQ1Y61J,crossover,0.20081943515524103,0.03834831220168515,0,12,34,134,4
S5GJU1OTTN,crossover,0.26271030212612656,0.014794817765595769,0,15,24,474,5
ZCR8DX3WC4,mutation,0.17420669709968462,0.06702754017607698,0,10,19,471,3
FW91FO91JO,mutation,0.2441506708407113,0.028786252984885845,1,14,24,824,5
U69XKCRPWO,crossover,0.20771060259347363,0.04218244845425306,0,13,22,668,4
KQF5PKJ3EM,crossover,0.28276233840769804,0.013255812014043904,1,25,27,768,6
RE1MLS0JE9,crossover,0.2923224174652366,0.01351677234807313,0,22,25,525,6
87TQE25P91,crossover,0.3388649376362405,0.0007964328702995856,1,11,37,1505,6
X46L5OMV18,crossover,0.36319786370934504,0.001739851388128287,1,9,37,1461,6
