id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
LZ2LPXLKBJ,crossover,0.06458565330651467,1.0,0.0,3,0,4,13,3,8,5
D5609CI9JQ,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,11,3,7,5
35U5ZUW2JJ,mutation,0.1339745962155613,1.0,1.0,3,0,4,16,3,6,8
LCV84IHBC5,crossover,0.17084380241115005,0.4,0.25,2,0,3,14,2,6,8
K28HPQGBHP,crossover,0.06458565330651467,1.0,0.0,4,1,4,18,4,6,6
NHUUYTOCR2,crossover,0.09861218113400261,1.0,0.1428571428571429,3,0,4,18,3,5,5
FF48F2IYN6,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,15,3,7,3
5BXFV5EJZP,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,13,3,7,3
BVRQWXHDNG,crossover,0.17084380241115005,0.4,0.25,2,0,4,15,2,6,3
5GN7RORTFS,crossover,0.17084380241115005,0.4,0.25,2,0,3,14,2,6,2
AFBXSCRR6B,crossover,0.17084380241115005,0.4,0.25,3,1,4,17,3,5,6
W45LN19WW2,crossover,0.09861218113400261,1.0,0.1428571428571429,3,0,4,17,3,5,4
PZ93RZO9R2,mutation,0.1339745962155614,0.15,0.3571428571428571,4,1,4,12,4,5,4
YFCMQFM6W5,mutation,0.09861218113400261,1.0,0.1428571428571429,3,0,4,10,3,5,3
DC0435K0KV,crossover,0.06458565330651467,1.0,0.0,2,0,3,18,2,7,3
54N72M1T7G,crossover,0.17084380241115005,0.4,0.25,2,0,3,16,2,6,3
YAKO2HY4FU,mutation,0.06458565330651467,1.0,0.0,3,0,4,17,3,8,6
B8G1ULS3U7,crossover,0.06458565330651467,1.0,0.0,2,0,3,16,2,8,5
LQSG5755WZ,crossover,0.06458565330651467,1.0,0.0,2,0,3,18,2,8,8
NYV0ID6P7O,crossover,0.06458565330651467,1.0,0.0,2,0,3,18,2,7,6
JFSNW6TU2L,crossover,0.1339745962155613,1.0,1.0,3,1,3,19,3,6,6
5AYIT7WEI0,crossover,0.09861218113400261,1.0,0.1428571428571429,3,0,3,16,3,5,5
FWZ5WRDGBA,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,12,3,7,5
Y461XLRORH,crossover,0.06458565330651467,1.0,0.0,2,0,3,12,2,7,5
MJLR941AOS,crossover,0.06458565330651467,1.0,0.0,2,1,4,14,2,8,4
8UYJ3K2A8C,crossover,0.06458565330651467,1.0,0.0,2,0,3,13,2,7,4
WQ3IRB4YZ4,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,20,3,7,8
OA9540WH77,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,20,3,7,6
MOMWTORDUH,crossover,0.07417990022744858,1.0,0.25,4,0,3,15,4,7,5
2F1D1YAN4E,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,16,3,7,4
P6XFE15ERL,mutation,0.036375888340568485,1.0,0.1428571428571429,4,1,4,11,4,7,4
QT9GEI8L18,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,10,3,7,2
6WRR2TE1ME,mutation,0.0,1.0,0.0,4,0,4,9,4,7,5
GK2C6TZIXO,crossover,0.0,1.0,0.0,4,0,3,8,4,7,4
LT8IMK8RU3,mutation,0.1339745962155613,1.0,1.0,3,1,4,13,3,6,4
8FWMKE6WTJ,crossover,0.17084380241115005,0.4,0.25,3,1,3,13,3,5,3
S4AYEJ2HPR,crossover,0.06458565330651467,1.0,0.0,3,0,3,27,3,8,5
3XAE5T55KB,mutation,0.06458565330651467,1.0,0.0,2,0,3,18,2,7,5
079OXXVHZC,crossover,0.17084380241115005,0.4,0.25,2,1,4,10,2,5,8
01IGT4YTEM,crossover,0.17084380241115005,0.4,0.25,2,0,4,10,2,3,7
24LQ9TFUN2,crossover,0.1339745962155613,1.0,1.0,3,0,4,22,3,6,4
BFOGVNHXSQ,mutation,0.09861218113400261,1.0,0.1428571428571429,3,0,3,20,3,3,3
6NE1NW5A3R,mutation,0.06458565330651467,1.0,0.0,3,0,4,14,3,8,5
03EAA6XF4J,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,13,3,7,4
XZAZR47GJ2,mutation,0.0,1.0,0.0,4,0,4,5,4,7,4
319PTRT0QJ,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,6,3,7,4
6SV2EZCJX2,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,14,3,7,5
VS0EX0UK17,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,11,3,7,4
K385LVFKE0,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,14,3,7,5
8DDUITB5A5,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,12,3,7,4
D9VMCF3663,crossover,0.17084380241115005,0.4,0.25,2,1,4,16,2,6,5
12KTTYAICP,crossover,0.17084380241115005,0.4,0.25,2,0,3,16,2,6,4
5WQM0LJI1F,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,11,3,7,3
O7WPAXNUJV,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,11,3,7,3
EO2MK6J0Q4,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,18,3,7,6
XCDSITRIYW,mutation,0.06458565330651467,1.0,0.0,2,0,3,17,2,7,5
IP240YJM1U,crossover,0.06458565330651467,1.0,0.0,3,1,3,12,3,7,4
99SMLR5TQ5,crossover,0.06458565330651467,1.0,0.0,2,0,3,11,2,7,3
S2KXX0WT8U,mutation,0.07417990022744858,1.0,0.25,4,0,4,18,4,7,7
3KGSWF4WF4,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,12,3,7,6
BX5F6VYJK4,crossover,0.17084380241115005,0.4,0.25,2,0,3,12,2,6,1
5FULF9XST5,mutation,0.17084380241115005,0.4,0.25,2,0,3,10,2,6,1
TA5XYSBTLJ,crossover,0.0,1.0,0.0,4,0,4,10,4,7,7
ZJXLGWQV9E,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,9,3,7,6
7QF7JWY0WZ,crossover,0.06458565330651467,1.0,0.0,3,1,4,13,3,8,2
SDBDKB6P5R,crossover,0.06458565330651467,1.0,0.0,2,0,3,12,2,7,2
OZ8SDVDXRY,crossover,0.17084380241115005,0.4,0.25,2,0,3,22,2,6,6
7OAQ6QZ8QV,crossover,0.17084380241115005,0.4,0.25,2,0,3,16,2,6,3
BF5A1DFTY5,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,16,3,7,5
LV60I9QXUY,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,14,3,7,4
DKCPWLBC3P,crossover,0.1339745962155613,1.0,1.0,3,0,3,21,3,6,6
J2BFY48RMB,mutation,0.1339745962155613,1.0,1.0,3,0,3,18,3,6,6
PZ684R83AV,mutation,0.1339745962155613,1.0,1.0,3,1,3,10,3,6,3
KTQRIAUZ20,crossover,0.1339745962155613,1.0,1.0,3,0,3,7,3,6,3
G6UC6KYGQ1,mutation,0.17084380241115005,0.4,0.25,2,1,3,26,2,6,3
MR6N5NJZGT,mutation,0.17084380241115005,0.4,0.25,2,0,3,17,2,4,2
