id,seed,creation_mode,error_val,dem_fpr_val,error_tst,dem_fpr_tst,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
MQINBPX6K0,100,crossover,0.2468482395476232,0.0194048853442452,0.2467593269984446,0.0273681763115065,0.8550359406820283,42,28,16,0.0667842512625238,140,0.1149482802708114
BU9PAU30YE,100,crossover,0.2485293839664633,0.0194048853442452,0.247923724820436,0.0281628201519842,0.8213317601522956,40,27,16,0.0664729893098834,139,0.113641285187975
769K3DKGBX,100,inicialization,0.2947673443308225,0.0061963311270428,0.2981425835713879,0.0122133469572559,0.5609803489488171,3,22,13,0.1297729169587756,59,0.3003592747841146
M5NQS40JQH,100,mutation,0.2897119035705524,0.0056476542063609,0.2950080780205408,0.0051028524578127,0.2848432843633664,20,31,3,0.0528518646420387,79,0.451382518852631
YGD60DLFRL,100,crossover,0.2367244633038729,0.0084647053754353,0.234666456255823,0.0202576818120632,0.8645987341994942,25,20,8,0.0707288021635758,68,0.5163564011252075
TZEO55FUAH,100,crossover,0.2296763653557583,0.0111010649683511,0.2273636648100065,0.02567563846841,0.7728594494979162,38,32,6,0.0870122608369618,91,0.6853500307838045
2IOVXH136Z,100,inicialization,0.2477024439286981,0.0108668608869454,0.2469581261174431,0.0189238426804048,0.0235182687175167,52,8,3,0.0787455309712971,156,0.1949929130614348
8PUM17FAO3,100,crossover,0.2848227772562395,0.0030915633713156,0.2880894278152258,0.0065605917840404,0.4560449893970565,12,26,12,0.0243646252373991,93,0.413186523660107
OBWP2D6997,100,mutation,0.2610834236709476,0.0074476202919419,0.2678563643540036,0.0142385797672511,0.3636646654455997,8,27,7,0.0749508366949345,75,0.3872988198424528
V7IL2X7Q0V,100,crossover,0.2741550224657716,0.0120712397388033,0.2791560451195126,0.0145766284462609,0.2719600263606588,39,30,5,0.0646488703888694,67,0.2179719788171102
BYGFYEBESH,100,crossover,0.279816738221415,0.0028573592899099,0.2910501035874763,0.0071204371076493,0.4912903227758982,22,31,5,0.0262068507555313,132,0.3270105555729054
DE8L7VTJ51,100,crossover,0.2664640956641333,0.0043428525362147,0.2756554021606804,0.0068443385259242,0.4632959279932635,23,29,8,0.0181519266016601,95,0.6360361386991711
FZGNUZRHPW,100,crossover,0.2614591363571984,0.0032722549474743,0.2656051343514091,0.0106034092438722,0.2715804726687247,45,24,4,0.067770111549782,95,0.4494529654648092
A6R5ZEYACN,100,crossover,0.2651363033791787,0.0021749011061104,0.2709078044476379,0.0066301900414836,0.7142886105394677,15,29,15,0.0302256889063639,82,0.8089431875698617
7OZNGP7BM8,100,crossover,0.2127291415627445,0.0238881213357833,0.2172137640436406,0.0280259180851454,0.2303408112361387,36,10,13,0.1449635950964693,163,0.6384699936149011
M3ZXKANV6H,100,crossover,0.2429077374741877,0.0109203733921924,0.2434767309585691,0.0193314896168577,0.3116336736085048,46,26,5,0.0735626218455007,96,0.4536329650333567
A9GNH0ULM6,100,crossover,0.2628605263812582,0.0088862032252056,0.2735997810519603,0.0139548330253674,0.2433382452790545,23,25,8,0.0247810652844523,131,0.3332071346991938
N7K4C82WAF,100,inicialization,0.2843948287898996,0.0084980638202647,0.2865030997391905,0.0178378039378847,0.4971738536711055,28,16,5,0.0442710114937013,90,0.2957650814768204
NC3K1RR3RZ,100,inicialization,0.2830608234614736,0.0069256996238835,0.2849043090018109,0.010582759211444,0.4731076387282845,4,21,7,0.1102017439759069,68,0.7549744918185198
M8Y0VIHX3H,100,mutation,0.2793366566222431,0.0025696427032571,0.2892470597964502,0.0069475886880652,0.7313935326331007,19,19,16,0.0147946382710437,86,0.4558209685916049
YU7C2FVF5A,100,crossover,0.2840972894476766,0.0029845383608216,0.2870656068585838,0.008627124658892,0.4023134704987955,6,25,15,0.0637525873682953,78,0.4864745715996431
18WYH63ZG0,100,inicialization,0.247182854092355,0.019143925010216,0.2486981736451897,0.028549817056009,0.7838647123516411,32,25,16,0.0678188872222418,137,0.1085352488576415
HSEHBLEHAH,100,inicialization,0.2554589314048842,0.0084914616280589,0.2516315184356036,0.0171617065798651,0.1995595892893245,9,8,13,0.0469681518044905,126,0.7232866612169627
UTKU03H25Z,100,inicialization,0.2362464097354581,0.0111010649683511,0.2361314605044477,0.0184748956790954,0.8504950360574803,12,20,16,0.0756888142871415,81,0.478670516884757
SQREJC23OW,100,mutation,0.2336016815068398,0.0121716625570915,0.2329703416440891,0.0218056694281623,0.5564198864765081,40,28,8,0.0594806913180014,88,0.4768385788224532
J1P5HM2L2Z,100,crossover,0.2373110793880464,0.0121716625570915,0.2400768107623379,0.0169269080629963,0.2855884363019337,21,20,10,0.030686961232363,118,0.7019988463641265
F9IU2K9AQU,100,crossover,0.23998861574657,0.0125128916489913,0.2361963849480223,0.0210316756201128,0.6809592149236393,22,22,4,0.1189086085761494,80,0.3164416264065586
G9JI9JKWYG,100,inicialization,0.2145646699149007,0.0255073958452056,0.218532368636435,0.0309283948653311,0.6457319098243018,31,14,13,0.1784941851270547,121,0.8509148586792934
DEJP474U43,100,crossover,0.2825211221079128,0.0127001854173558,0.2816452634150014,0.0244374013387339,0.764582340152534,45,23,12,0.0553420322114687,104,0.1398187579023111
RWTZSEQHYN,100,mutation,0.2172904079093338,0.0203886119829093,0.2092645688389551,0.027680221245977,0.252536468750141,39,20,14,0.1097369579442969,185,0.4843210811622954
SJE0Z2MK33,100,crossover,0.2175809564052553,0.0257415999266114,0.2167367611941513,0.0301544010572816,0.2864229566509493,62,8,8,0.1758777412892323,137,0.6157955876203263
K5ME3MEZUW,100,inicialization,0.2706298121953282,0.0155707490916773,0.2738479141975536,0.0232351105618032,0.553082009505837,22,37,4,0.0419914197376987,181,0.1661635131262622
IK5FPTA8FT,100,crossover,0.2536830291257395,0.0138712058243844,0.2527873857728833,0.0198010866505953,0.186876139119423,18,18,9,0.0359680426155308,142,0.2775481667584071
P4L0TS7YYY,100,inicialization,0.2150368244148877,0.0243832857512182,0.2135888631371063,0.0307968465106034,0.5753080301815531,49,20,11,0.1991679280083544,71,0.5590787594936382
03ILELN596,100,crossover,0.213174958946456,0.0194517956572864,0.2164171479772326,0.0316740904807939,0.6267946018024103,35,20,9,0.0966817537342766,139,0.8226006475277543
2MUFKVJM1F,100,inicialization,0.2623893428889922,0.0048380169516497,0.2667183229981927,0.0140863813800952,0.0875838347904098,38,14,4,0.0310451161436371,190,0.9145094961996332
