id,seed,creation_mode,error_val,dem_fpr_val,error_tst,dem_fpr_tst,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
YFVGU9F515,105,inicialization,0.2926895386747239,0.007756897003165841,0.30047677293691943,0.011169865517691606,0.38294844338378,23,25,3,0.021076345193042564,117,0.6359221939109617
SJXTEK6KZK,105,crossover,0.2261524118278353,0.02671324177001262,0.23040041796705202,0.027001846567063958,0.3296282226155248,26,28,6,0.06737386706388673,137,0.6105235060755562
2YP6SND7AD,105,inicialization,0.254336486672181,0.012025124372188237,0.26134224473218937,0.016962303918825656,0.4471939108553593,22,35,16,0.015172461461596003,152,0.6168075598380393
42J7CDC2OH,105,crossover,0.2212943765537143,0.0307255837756778,0.2257411959403094,0.03067166545427415,0.5845614024692243,24,9,13,0.08344263518715772,108,0.7911623595893394
EHDMSVO3TV,105,crossover,0.2852431917240137,0.014277510651972105,0.29024115654856064,0.02296178165743383,0.498542636424404,12,33,10,0.06478569250756046,62,0.20441887144874704
DSQ0RGFFF5,105,mutation,0.22795536057282673,0.02380626502582657,0.23367877741848642,0.02758286236547106,0.45838155384412954,33,8,8,0.06344921789528864,100,0.6070103230566452
W29L62JC5C,105,crossover,0.2677995502163548,0.008698614648544427,0.2699826602394948,0.01889653628784064,0.7125230242252125,8,34,14,0.06897677995141037,68,0.6005814340788564
9KU552DLAA,105,inicialization,0.22313161541818383,0.025085691842612647,0.22804773046593174,0.030670732844645887,0.9465424969647598,7,31,16,0.1531950507819478,179,0.991209409459117
5Q5TU8JQJN,105,inicialization,0.21414017786129735,0.04086876056270977,0.21840057419187486,0.039164008729226124,0.920112768117761,42,38,14,0.1934845474672152,179,0.7789149266831076
4N62GIOT5U,105,mutation,0.25800289012069677,0.024768810549617954,0.25894075591618115,0.026432022084195997,0.571886368526453,20,16,9,0.0872637686276714,69,0.22947017257421565
APV2UXF868,105,inicialization,0.26377355865496066,0.009046737759158319,0.26651792461053814,0.014261466435379483,0.11959394787950817,32,35,6,0.027479217306990926,129,0.4030137026611742
383O85YPBM,105,mutation,0.22020147012599567,0.04301849515603057,0.22414270748190235,0.03298640255161994,0.3026250709731728,35,11,10,0.11506788135342104,153,0.6903344883056989
