id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight,fair_param
TW0C4BK42E,100,crossover,0.2222813603536804,0.024918758287488636,11,213,1,11,37,1079,5,3
U9WEODQAXU,100,mutation,0.2213349038996354,0.02684590344398144,11,222,1,11,26,1499,4,6
KTYMFP1BVI,100,mutation,0.22118624673014475,0.027970013537968852,9,122,1,9,34,1040,4,3
TQJ7FPGYJH,100,crossover,0.2208007907534305,0.029562531794767727,9,130,1,9,21,1143,4,4
SCT5PVI3DC,100,crossover,0.21473982327118546,0.03031865654423191,9,128,0,9,32,1426,4,3
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,1,8,27,224,4,2
9GSAVB3LD0,100,mutation,0.21159274365430203,0.03423306155467032,8,86,0,8,39,881,4,2
FVCFQ9IWMK,100,crossover,0.20840022072704045,0.03759218745222098,12,300,1,12,18,1409,4,4
XUJXXHXG1V,100,crossover,0.20517660027096607,0.03767245621009149,11,233,0,11,28,863,4,4
FVRTNRZ9NW,100,crossover,0.19980940795643443,0.04307235446683476,12,170,0,12,13,170,4,6
O3L25BW772,100,mutation,0.17528097389295283,0.052922130270286805,12,151,0,12,13,151,3,5
5AZGXQF3IZ,100,crossover,0.1737935319431526,0.06673982358942426,10,185,0,10,21,620,3,4
2X7Q0VXQKZ,100,crossover,0.17095503966583792,0.06752930678371774,9,140,0,9,20,378,3,4
ZBDY5VHD9X,100,crossover,0.17095400211738931,0.07445500640760128,9,133,1,9,21,215,3,5
TRX8ICKZ8G,100,crossover,0.17019832002612734,0.07610103716964714,9,140,1,9,17,211,3,5
JLKI7SYHZQ,100,mutation,0.1700053615493422,0.08464566381915273,8,110,0,8,11,207,3,4
SWRB6AELI7,100,crossover,0.30698948436713924,0.0015928657405991711,14,447,0,14,22,653,6,3
WZRURYTI1W,100,crossover,0.32467437054931625,1.9806576617396876e-05,19,333,0,19,18,333,7,6
UY4LQGHAWI,100,crossover,0.28813770408838657,0.0007231137884351896,17,692,0,17,21,1409,6,4
